"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6"
"Alpha Omega","1965","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Beta Omega","1970","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Gamma Omega","1973","Hampton","https://en.wikipedia.org/wiki/Hampton,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Delta Omega","1973","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","","","Active","","","","",""
"Epsilon Omega","December 5, 1976","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","58","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:4-72","[","]",""
"Zeta Omega","1978","Salem","https://en.wikipedia.org/wiki/Salem,_New_Jersey","Atlantic City","https://en.wikipedia.org/wiki/Atlantic_City,_New_Jersey","Active","60","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:5-74","[","]","and"
"Eta Omega","1978","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Theta Omega","1980","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Iota Omega","October 11, 1981","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Kappa Omega","1981","Champaign County","https://en.wikipedia.org/wiki/Champaign_County,_Illinois","McLean County","https://en.wikipedia.org/wiki/McLean_County,_Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]","and"
"Lambda Omega","1982","Carbondale","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]",""
"Mu Omega","1982","St. Louis","https://en.wikipedia.org/wiki/St._Louis","East St. Louis","https://en.wikipedia.org/wiki/East_St._Louis,_Illinois","Active","61","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:3-75","[","]","and"
"Nu Omega","1982","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","54","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:2-68","[","]",""
"Xi Omega","1983","San Francisco","https://en.wikipedia.org/wiki/San_Francisco","California","https://en.wikipedia.org/wiki/California","Active","63","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:6-77","[","]",""
