"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"Alpha Alumni","November 19, 1912","New York City","https://en.wikipedia.org/wiki/New_York_City","New York","https://en.wikipedia.org/wiki/New_York_(state)","Inactive","105","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:17-167","[","]","","",""
"","April 11, 1911","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","106","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-168","[","]","101","Alpha Lambda",""
"","November 3, 1914","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","107","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:8-169","[","]","16","Rho",""
"","January 19, 1919","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","108","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-171","[","]","102","Beta Lambda",""
"","March 22, 1919","Detroit","https://en.wikipedia.org/wiki/Detroit","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","105","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:17-167","[","]","103","Gamma Lambda",""
"","May 23, 1919","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","109","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-172","[","]","104","Delta Lambda",""
"","December 3, 1919","St. Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","110","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-173","[","]","105","Epsilon Lambda",""
"","April 3, 1920","Newport News","https://en.wikipedia.org/wiki/Newport_News,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","111","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:22-174","[","]","106","Zeta Lambda",""
"","May 20, 1920","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","112","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-175","[","]","107","Eta Lambda",""
"","December 23, 1921","Dayton","https://en.wikipedia.org/wiki/Dayton,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","","108","Theta Lambda",""
"","April 17, 1922","Indianapolis","https://en.wikipedia.org/wiki/Indianapolis","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","113","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-177","[","]","109","Iota Lambda",""
"","June 9, 1923","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","110","Kappa Lambda",""
"Lambda Lambda","","","","","","Unassigned","","","","","","",""
"","October 1, 1923","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","","Active","114","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-178","[","]","111","Mu Lambda",""
"","December 18, 1923","Petersburg","https://en.wikipedia.org/wiki/Petersburg,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","115","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-179","[","]","112","Nu Lambda",""
"","May 15, 1924","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","116","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-180","[","]","113","Xi Lambda",""
"","February 14, 1924","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","114","Omicron Lambda",""
"","May 3, 1926","Little Rock","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","117","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-181","[","]","115","Pi Lambda",""
"","March 28, 1925","Buffalo","https://en.wikipedia.org/wiki/Buffalo,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","116","Rho Lambda",""
"","December 5, 1925","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","","117","Sigma Lambda",""
"","May 30, 1925","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","118","Tau Lambda",""
