"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 4","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"Chicago (IL) Alumni Chapter","1919","Active","North Central","31","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-35","[","]","",""
"Detroit (MI) Alumni Chapter","1920","Active","Northern","32","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-36","[","]","",""
"Indianapolis (IN) Alumni Chapter","1920","Active","North Central","33","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-37","[","]","",""
"Cleveland (OH) Alumni Chapter","1920","Active","East Central","34","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-38","[","]","",""
"Louisville (KY) Alumni Chapter","1920","Active","South Central","35","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-39","[","]","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY"
"St. Louis (MO) Alumni Chapter","1921","Active","Middle Western","36","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-40","[","]","St. Louis, MO","https://en.wikipedia.org/wiki/St._Louis,_MO"
"Columbus (OH) Alumni Chapter","1921","Active","East Central","37","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-41","[","]","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH"
"Baltimore (MD) Alumni Chapter","1921","Active","Eastern","38","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-42","[","]","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD"
"Durham (NC) Alumni Chapter","1921","Active","Middle Eastern","39","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-43","[","]","Durham, NC","https://en.wikipedia.org/wiki/Durham,_NC"
"Oklahoma City (OK) Alumni Chapter","1922","Active","Middle Western","40","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-44","[","]","Oklahoma City, OK","https://en.wikipedia.org/wiki/Oklahoma_City,_OK"
"Philadelphia (PA) Alumni Chapter","1922","Active","Northeastern","41","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-45","[","]","",""
"Pittsburgh (PA) Alumni Chapter","1922","Active","East Central","42","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-46","[","]","Pittsburgh, PA","https://en.wikipedia.org/wiki/Pittsburgh,_PA"
"Kansas City (MO) Alumni Chapter","1923","Active","Middle Western","43","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-47","[","]","Kansas City, MO","https://en.wikipedia.org/wiki/Kansas_City,_MO"
"Cincinnati (OH) Alumni Chapter","1923","Active","East Central","44","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-48","[","]","",""
"Atlanta (GA) Alumni Chapter","1924","Active","Southeastern","45","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-49","[","]","",""
"Washington (DC) Alumni Chapter","1924","Active","Eastern","46","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-50","[","]","",""
"Jacksonville (FL) Alumni Chapter","1925","Active","Southern","47","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-51","[","]","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL"
"Topeka (KS) Alumni Chapter","1925","Active","Middle Western","","","","","Topeka, KS","https://en.wikipedia.org/wiki/Topeka,_KS"
"Wichita (KS) Alumni Chapter","1925","Active","Middle Western","48","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-52","[","]","Wichita, KS","https://en.wikipedia.org/wiki/Wichita,_KS"
"Nashville (TN) Alumni Chapter","1926","Active","South Central","49","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-53","[","]","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN"
"Lexington (KY) Alumni Chapter","1927","Active","South Central","50","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-54","[","]","Lexington, KY","https://en.wikipedia.org/wiki/Lexington,_KY"
"Marshall (TX) Alumni Chapter","1928","Active","Southwestern","","","","","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX"
"Houston (TX) Alumni Chapter","1928","Active","Southwestern","51","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-55","[","]","",""
"Tampa (FL) Alumni Chapter","1928","Active","Southern","52","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-56","[","]","Tampa, FL","https://en.wikipedia.org/wiki/Tampa,_FL"
"Wilberforce (OH) Alumni Chapter","1928","Active","East Central","","","","","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH"
"Tuskegee (AL) Alumni Chapter","1929","Active","Southern","","","","","Tuskegee, AL","https://en.wikipedia.org/wiki/Tuskegee,_AL"
"Tulsa (OK) Alumni Chapter","1931","Active","Middle Western","","","","","Tulsa, OK","https://en.wikipedia.org/wiki/Tulsa,_OK"
"San Antonio (TX) Alumni Chapter","1931","Active","Southwestern","53","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-57","[","]","",""
"Bluefield (WV) Alumni Chapter","1932","Inactive","Middle Eastern","","","","","Bluefield, WV","https://en.wikipedia.org/wiki/Bluefield,_WV"
"Memphis (TN) Alumni Chapter","1934","Active","South Central","54","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-58","[","]","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN"
"Youngstown (OH) Alumni Chapter","1934","Active","East Central","55","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-59","[","]","Youngstown, OH","https://en.wikipedia.org/wiki/Youngstown,_OH"
"Dallas (TX) Alumni Chapter","1935","Active","Southwestern","56","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-60","[","]","",""
"New Orleans (LA) Alumni Chapter","1936","Active","Southwestern","57","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-61","[","]","",""
"New York (NY) Alumni Chapter","1937","Active","Northeastern","","","","","",""
"Little Rock (AR) Alumni Chapter","1938","Active","Southwestern","58","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-62","[","]","Little Rock, AR","https://en.wikipedia.org/wiki/Little_Rock,_AR"
"Los Angeles (CA) Alumni Chapter","1938","Active","Western","59","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-63","[","]","",""
"Springfield (IL) Alumni Chapter","1938","Active","North Central","60","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-64","[","]","Springfield, IL","https://en.wikipedia.org/wiki/Springfield,_IL"
"Charleston (WV) Alumni Chapter","1939","Active","East Central","","","","","Charleston, WV","https://en.wikipedia.org/wiki/Charleston,_WV"
"Jefferson City (MO) Alumni Chapter","1940","Active","Middle Western","61","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-65","[","]","Jefferson City, MO","https://en.wikipedia.org/wiki/Jefferson_City,_MO"
"Norfolk (VA) Alumni Chapter","1940","Active","Eastern","62","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-66","[","]","Norfolk, VA","https://en.wikipedia.org/wiki/Norfolk,_VA"
"Jackson (MS) Alumni Chapter","1941","Active","Southwestern","63","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-67","[","]","Jackson, MS","https://en.wikipedia.org/wiki/Jackson,_MS"
"Pittsburg (KS) Alumni Chapter","1941","Active","Middle Western","","","","","Pittsburg, KS","https://en.wikipedia.org/wiki/Pittsburg,_KS"
"Petersburg (VA) Alumni Chapter","1941","Active","Eastern","","","","","Petersburg, VA","https://en.wikipedia.org/wiki/Petersburg,_VA"
