"fn","vcard","mw-redirect","mw-redirect href","category","note","reference","reference href","cite-bracket","cite-bracket 2"
"Alpha Alpha Theta Sigma","February 7, 1994","Pensacola, FL","https://en.wikipedia.org/wiki/Pensacola,_FL","Active","Represents Escambia & Santa Rosa County","101","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-101","[","]"
"Alpha Eta Sigma","","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active","Represents  &  also","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]"
"Alpha Iota Sigma","","Lorman, MS","https://en.wikipedia.org/wiki/Lorman,_MS","Active","","","","",""
"Alpha Phi Sigma","","Columbus, GA","https://en.wikipedia.org/wiki/Columbus,_GA","Active","","","","",""
"Alpha Chi Sigma","1950","Dothan, AL","https://en.wikipedia.org/wiki/Dothan,_AL","Active","Represents the ""Wiregrass Area""","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]"
"Alpha Omega Sigma","","Hinesville, GA","https://en.wikipedia.org/wiki/Hinesville,_GA","Active","","","","",""
"Beta Delta Sigma","","Fort Valley, GA","https://en.wikipedia.org/wiki/Fort_Valley,_GA","Active","","","","",""
"Beta Epsilon Sigma","","Huntsville, AL","https://en.wikipedia.org/wiki/Huntsville,_AL","Active","Largest alumni chapter in Alabama","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]"
"Beta Zeta Sigma","?","Daytona Beach, FL","https://en.wikipedia.org/wiki/Daytona_Beach,_FL","Active","","81","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-floridasigmas-81","[","]"
"Beta Lambda Sigma","[1949]","Tallahassee, FL","https://en.wikipedia.org/wiki/Tallahassee,_FL","Active","","81","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-floridasigmas-81","[","]"
