"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 4","tablescraper-selected-row href","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","tablescraper-selected-row 5"
"Alpha Sigma","192x ?","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","","","","","","",""
"Beta Sigma","192x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Montgomery, Alabama","https://en.wikipedia.org/wiki/Montgomery,_Alabama","","","","",""
"Gamma Sigma","1928","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Houston, Texas","https://en.wikipedia.org/wiki/Houston","","","","",""
"Delta Sigma","1927","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","","","63","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-77","[","]",""
"Epsilon Sigma","19xx ?","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","","","","","","",""
"Zeta Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","St. Louis, Missouri","https://en.wikipedia.org/wiki/St._Louis","65","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-79","[","]","June 5, 1932"
"Eta Sigma","1933","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Atlanta, Georgia","https://en.wikipedia.org/wiki/Atlanta","","","","",""
"Theta Sigma","","Active","66","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:8-80","[","]","Little Rock, Arkansas","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","","","","","March 8, 1935"
"Iota Sigma","1935","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Richmond, Virginia","https://en.wikipedia.org/wiki/Richmond,_Virginia","68","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-82","[","]",""
"Kappa Sigma","1936","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","New York City","https://en.wikipedia.org/wiki/New_York_City","","","","","New York"
"Lambda Sigma","","InActive","","","","","","","","","","",""
"Mu Sigma","","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","Baton Rouge, Louisiana","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","","","","","December 8, 1945"
