"tablescraper-selected-row","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","tablescraper-selected-row 7","tablescraper-selected-row 8"
"Alpha","Howard University","https://en.wikipedia.org/wiki/Howard_University","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","Active","",""
"Beta","Chicago","https://en.wikipedia.org/wiki/Chicago","","","Active","Illinois",""
"Gamma","University of Illinois Urbana-Champaign","https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign","Champaign","https://en.wikipedia.org/wiki/Champaign,_Illinois","Active","Illinois",""
"Delta","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence","https://en.wikipedia.org/wiki/Lawrence,_Kansas","Active","Kansas",""
"Epsilon","Boston","https://en.wikipedia.org/wiki/Boston","","","Active","Massachusetts",""
"Zeta","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Active","Ohio","1916"
"Theta (First)","","","","","Reissued","",""
"Iota","University of Pittsburgh","https://en.wikipedia.org/wiki/University_of_Pittsburgh","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Active","Pennsylvania",""
"Theta (Second)","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Active","Ohio",""
"Kappa","Indianapolis","https://en.wikipedia.org/wiki/Indianapolis","","","Active","Indiana",""
"Xi (First)","Detroit","https://en.wikipedia.org/wiki/Detroit","","","Inactive, Reissued","Michigan","– 1949"
"Omicron","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Active","Ohio",""
"Pi","Fisk University","https://en.wikipedia.org/wiki/Fisk_University","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active","Tennessee",""
"Rho","University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley","Berkeley","https://en.wikipedia.org/wiki/Berkeley,_California","Active","California",""
"Tau","Indiana University Bloomington","https://en.wikipedia.org/wiki/Indiana_University_Bloomington","Bloomington","https://en.wikipedia.org/wiki/Bloomington,_Indiana","Active","Indiana",""
"Eta (Second)","University of Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota","Minneapolis","https://en.wikipedia.org/wiki/Minneapolis","Inactive, Reissued","Minnesota","1922–19xx ?"
"Lambda (Second)","New York City","https://en.wikipedia.org/wiki/New_York_City","","","Active","New York",""
"Mu (Second)","Temple University","https://en.wikipedia.org/wiki/Temple_University","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Inactive, Reissued","Pennsylvania","1922–1945"
