"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","tablescraper-selected-row href 3","tablescraper-selected-row 7","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8","tablescraper-selected-row 9"
"1","Alpha","December 4, 1906","Cornell University","https://en.wikipedia.org/wiki/Cornell_University","Ithaca","https://en.wikipedia.org/wiki/Ithaca,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","","","","","",""
"2","Beta","December 20, 1907","Howard University","https://en.wikipedia.org/wiki/Howard_University","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","","Active","","","","","",""
"3","Gamma","December 30, 1907","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","",""
"4",",","April 11, 1908","University of Toronto","https://en.wikipedia.org/wiki/University_of_Toronto","Toronto","https://en.wikipedia.org/wiki/Toronto","Ontario","https://en.wikipedia.org/wiki/Ontario","Inactive,  Reestablished","b","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-8","[","]","Delta First (see Sigma Iota)","– 1909"
"5","Epsilon","April 10, 1909","University of Michigan","https://en.wikipedia.org/wiki/University_of_Michigan","Ann Arbor","https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","","","","","",""
"6","Zeta","April 10, 1909","Yale University","https://en.wikipedia.org/wiki/Yale_University","New Haven","https://en.wikipedia.org/wiki/New_Haven,_Connecticut","Connecticut","https://en.wikipedia.org/wiki/Connecticut","Active","","","","","","– 1957; xxxx ?"
"7","Eta","June 5, 1909","Columbia University","https://en.wikipedia.org/wiki/Columbia_University","New York City","https://en.wikipedia.org/wiki/New_York_City","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","7","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:35-9","[","]","",""
"8","Theta","February 21, 1910","University of Illinois Chicago","https://en.wikipedia.org/wiki/University_of_Illinois_Chicago","Loyola University Chicago","https://en.wikipedia.org/wiki/Loyola_University_Chicago","University of Chicago","https://en.wikipedia.org/wiki/University_of_Chicago","Active","9","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-12","[","]","",""
"9","Delta Zeta","March 28, 1910","Syracuse University","https://en.wikipedia.org/wiki/Syracuse_University","Syracuse","https://en.wikipedia.org/wiki/Syracuse,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Inactive,  Reestablished","","","","","Iota","–1923"
"10","Kappa","January 13, 1911","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","e","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-14","[","]","",""
"11","Mu","April 12, 1912","University of Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota","Minneapolis","https://en.wikipedia.org/wiki/Minneapolis","Saint Paul","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","Active","f","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-15","[","]","",""
"12","Nu","November 22, 1912","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University,_Pennsylvania_(CDP)","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","","","","","",""
"13","Xi","December 14, 1912","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","","",""
"14","Omicron","January 30, 1913","University of Pittsburgh","https://en.wikipedia.org/wiki/University_of_Pittsburgh","Carnegie Mellon University","https://en.wikipedia.org/wiki/Carnegie_Mellon_University","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Active","10","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:23-16","[","]","",""
"15","Pi","May 14, 1914","Case Western Reserve University","https://en.wikipedia.org/wiki/Case_Western_Reserve_University","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","11","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:262-18","[","]","",""
"16","Psi","November 3, 1914","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Pi Rho","","Merged","11","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:262-18","[","]","Rho","– xxxx ?"
"17","Sigma","November 28, 1915","Boston","https://en.wikipedia.org/wiki/Boston","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","","","Active","12","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:6-20","[","]","",""
"18","Tau","March 23, 1917","Champaign","https://en.wikipedia.org/wiki/Champaign,_Illinois","Urbana","https://en.wikipedia.org/wiki/Urbana,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","j","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-22","[","]","",""
"19","Upsilon","December 21, 1917","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence","https://en.wikipedia.org/wiki/Lawrence,_Kansas","Kansas","https://en.wikipedia.org/wiki/Kansas","Active","k","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-23","[","]","",""
"20","Phi","May 17, 1919","Ohio University","https://en.wikipedia.org/wiki/Ohio_University","Athens","https://en.wikipedia.org/wiki/Athens,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","","","– 1922; 1950"
"21","Chi","December 5, 1919","Meharry Medical College","https://en.wikipedia.org/wiki/Meharry_Medical_College","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","","",""
"22","Psi","January 21, 1920","University of Pennsylvania","https://en.wikipedia.org/wiki/University_of_Pennsylvania","Drexel University","https://en.wikipedia.org/wiki/Drexel_University","Villanova University","https://en.wikipedia.org/wiki/Villanova_University","Active","13","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:36-24","[","]","Rho",""
"23","Alpha Alpha","December 20, 1920","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","","",""
"24","Alpha Beta","April 25, 1921","Talladega College","https://en.wikipedia.org/wiki/Talladega_College","Talladega","https://en.wikipedia.org/wiki/Talladega,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","",""
"25","Alpha Gamma","February 2, 1921","Brown University","https://en.wikipedia.org/wiki/Brown_University","Johnson & Wales University","https://en.wikipedia.org/wiki/Johnson_%26_Wales_University","Providence","https://en.wikipedia.org/wiki/Providence,_Rhode_Island","Active","","","","","","– 1948; xxxx ?"
"26","Alpha Delta","February 2, 1921","University of Southern California","https://en.wikipedia.org/wiki/University_of_Southern_California","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","https://en.wikipedia.org/wiki/California","Active","m","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-27","[","]","",""
"28","Alpha Zeta","December 23, 1921","West Virginia State University","https://en.wikipedia.org/wiki/West_Virginia_State_University","Institute","https://en.wikipedia.org/wiki/Institute,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Active","","","","","",""
"27","Alpha Epsilon","January 17, 1922","University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley","Berkeley","https://en.wikipedia.org/wiki/Berkeley,_California","California","https://en.wikipedia.org/wiki/California","Active","15","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:37-28","[","]","",""
"29","Rho Nu","January 21, 1922","Harvard University","https://en.wikipedia.org/wiki/Harvard_University","Cambridge","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Inactive,  Reestablished","o","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-30","[","]","Alpha Eta First","–1942"
"30","Alpha Theta","March 11, 1922","University of Iowa","https://en.wikipedia.org/wiki/University_of_Iowa","Iowa City","https://en.wikipedia.org/wiki/Iowa_City,_Iowa","Iowa","https://en.wikipedia.org/wiki/Iowa","Active","p","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-31","[","]","","– 1948; 19xx ?"
"31 ?","","","Denver","https://en.wikipedia.org/wiki/Denver","Colorado","https://en.wikipedia.org/wiki/Colorado","","","Inactive","","","","","Alpha Iota","1922–19xx ?"
"32","Alpha Kappa","October 17, 1922","American International College","https://en.wikipedia.org/wiki/American_International_College","Amherst College","https://en.wikipedia.org/wiki/Amherst_College","University of Massachusetts Amherst","https://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst","Active","12","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:6-20","[","]","","– 1949; xxxx ?"
"33","Alpha Mu","October 21, 1922","Northwestern University","https://en.wikipedia.org/wiki/Northwestern_University","Evanston","https://en.wikipedia.org/wiki/Evanston,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","16","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-32","[","]","",""
"34","Omicron Pi","","Iowa State University","https://en.wikipedia.org/wiki/Iowa_State_University","Ames","https://en.wikipedia.org/wiki/Ames,_Iowa","Iowa","https://en.wikipedia.org/wiki/Iowa","Inactive,  Reestablished","q","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-33","[","]","Alpha Nu","1922–1949"
"35","","","Marquette University","https://en.wikipedia.org/wiki/Marquette_University","Milwaukee","https://en.wikipedia.org/wiki/Milwaukee","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin","Inactive,  Reestablished","r","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-34","[","]","Alpha Xi First","1923–1958"
"36","Alpha Omicron","May 4, 1923","Johnson C. Smith University","https://en.wikipedia.org/wiki/Johnson_C._Smith_University","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","",""
"37","Alpha Phi","","Clark Atlanta University","https://en.wikipedia.org/wiki/Clark_Atlanta_University","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Inactive","","","","","Alpha Pi First (see )","1924–19xx ?"
"38","Alpha Rho","January 5, 1924","Morehouse College","https://en.wikipedia.org/wiki/Morehouse_College","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","18","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:33-36","[","]","",""
"39","","April 6, 1925","Marshall","https://en.wikipedia.org/wiki/Marshall,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","","","Active","","","","","Alpha Sigma",""
"40","","May 9, 1925","University of Akron","https://en.wikipedia.org/wiki/University_of_Akron","Akron","https://en.wikipedia.org/wiki/Akron,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Inactive","19","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:15-38","[","]","Alpha Tau","– xxxx ?"
"41","Alpha Upsilon","March 27, 1926","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit","https://en.wikipedia.org/wiki/Detroit","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","u","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-40","[","]","",""
"45","Beta Alpha","December 22, 1926","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","v","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-41","[","]","",""
"47","Beta Gamma","December 22, 1926","Virginia State University","https://en.wikipedia.org/wiki/Virginia_State_University","Ettrick","https://en.wikipedia.org/wiki/Ettrick,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","","",""
"42","Alpha Phi","January 28, 1927","Clark Atlanta University","https://en.wikipedia.org/wiki/Clark_Atlanta_University","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","w","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-42","[","]","",""
"46","Beta Beta","May 7, 1927","University of Nebraska–Lincoln","https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln","Lincoln","https://en.wikipedia.org/wiki/Lincoln,_Nebraska","Nebraska","https://en.wikipedia.org/wiki/Nebraska","Active","","","","","","– 1958; xxxx ?"
