"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6"
"Alpha","January 13, 1913","Howard University","https://en.wikipedia.org/wiki/Howard_University","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","Active","6","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-6","[","]",""
"Beta","February 17, 1914","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce, Ohio","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Active","8","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-8","[","]",""
"Gamma","March 19, 1918","University of Pennsylvania","https://en.wikipedia.org/wiki/University_of_Pennsylvania","","","Active","9","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-9","[","]",""
"Delta","April 4, 1919","University of Iowa","https://en.wikipedia.org/wiki/University_of_Iowa","Iowa City, Iowa","https://en.wikipedia.org/wiki/Iowa_City,_Iowa","Active","11","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-:1-12","[","]","– 1939;1974"
"Epsilon","November 19, 1919","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus, Ohio","https://en.wikipedia.org/wiki/Columbus,_Ohio","Active","11","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-:1-12","[","]","– January 2013;2016 ?"
"Zeta","October 20, 1920","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","","","Active","13","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-:2-15","[","]","– 1945;19xx ?"
"Kappa Lambda","","Syracuse University","https://en.wikipedia.org/wiki/Syracuse_University","Syracuse, New York","https://en.wikipedia.org/wiki/Syracuse,_New_York","Reissued","13","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-:2-15","[","]","1920–19xx ?"
"Mu Gamma","","Cornell University","https://en.wikipedia.org/wiki/Cornell_University","Ithaca, New York","https://en.wikipedia.org/wiki/Ithaca,_New_York","Reissued","13","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-:2-15","[","]","1920–19xx ?"
"Kappa","February 21, 1921","University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley","Berkeley, California","https://en.wikipedia.org/wiki/Berkeley,_California","Active","16","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-20","[","]",""
"Lambda","March 1, 1921","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago","Chicago City-Wide","","Active","17","https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_collegiate_chapters#cite_note-21","[","]",""
