"tablescraper-selected-row","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","tablescraper-selected-row href 3","tablescraper-selected-row 6","tablescraper-selected-row 7","reference","reference href","cite-bracket","cite-bracket 2"
"Alpha","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","","","","",""
"Beta","Hampton University","https://en.wikipedia.org/wiki/Hampton_University","Hampton","https://en.wikipedia.org/wiki/Hampton,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Inactive","","","","",""
"Gamma","Delaware State University","https://en.wikipedia.org/wiki/Delaware_State_University","Dover","https://en.wikipedia.org/wiki/Dover,_Delaware","Delaware","https://en.wikipedia.org/wiki/Delaware","Active","1967","","","",""
"Delta","Norfolk State University","https://en.wikipedia.org/wiki/Norfolk_State_University","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","1968","","","",""
"Epsilon","New Jersey City University","https://en.wikipedia.org/wiki/New_Jersey_City_University","Jersey City","https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","1968","","","",""
"Zeta","North Carolina A&T State University","https://en.wikipedia.org/wiki/North_Carolina_A%26T_State_University","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","1969–xxxx ?, 2022","7","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-7","[","]"
"Eta","Virginia State University","https://en.wikipedia.org/wiki/Virginia_State_University","Ettrick","https://en.wikipedia.org/wiki/Ettrick,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","",""
"Theta","University of the District of Columbia","https://en.wikipedia.org/wiki/University_of_the_District_of_Columbia","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","","Active","","8","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-8","[","]"
"Iota","Elizabeth City State University","https://en.wikipedia.org/wiki/Elizabeth_City_State_University","Elizabeth City","https://en.wikipedia.org/wiki/Elizabeth_City,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","1971–xxxx ?,","9","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-9","[","]"
"Kappa","Winston-Salem State University","https://en.wikipedia.org/wiki/Winston-Salem_State_University","Winston-Salem","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Lambda","Prairie View A&M University","https://en.wikipedia.org/wiki/Prairie_View_A%26M_University","Prairie View","https://en.wikipedia.org/wiki/Prairie_View,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","1971–1975, 1988","10","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:1-10","[","]"
"Mu","Bowie State University","https://en.wikipedia.org/wiki/Bowie_State_University","Prince George's County","https://en.wikipedia.org/wiki/Prince_George%27s_County,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","1971","","","",""
"Nu","University of Maryland, College Park","https://en.wikipedia.org/wiki/University_of_Maryland,_College_Park","College Park","https://en.wikipedia.org/wiki/College_Park,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Inactive","–xxxx ?","","","",""
"Xi","Fayetteville State University","https://en.wikipedia.org/wiki/Fayetteville_State_University","Fayetteville","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","1972","11","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-:9-11","[","]"
"Omicron","Northeastern University","https://en.wikipedia.org/wiki/Northeastern_University","Boston","https://en.wikipedia.org/wiki/Boston","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","1973","12","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-12","[","]"
"Pi","Boston University","https://en.wikipedia.org/wiki/Boston_University","Boston","https://en.wikipedia.org/wiki/Boston","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","1973","","","",""
"Rho","Towson University","https://en.wikipedia.org/wiki/Towson_University","Towson","https://en.wikipedia.org/wiki/Towson,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Inactive","1973–xxxx ?","","","",""
"Sigma","Boston College","https://en.wikipedia.org/wiki/Boston_College","Chestnut Hill","https://en.wikipedia.org/wiki/Chestnut_Hill,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Inactive","1974","13","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-13","[","]"
"Tau","American International College","https://en.wikipedia.org/wiki/American_International_College","Springfield","https://en.wikipedia.org/wiki/Springfield,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","1974","","","",""
"Upsilon","Southern Illinois University Carbondale","https://en.wikipedia.org/wiki/Southern_Illinois_University_Carbondale","Carbondale","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","1974","","","",""
"Phi","Rowan University","https://en.wikipedia.org/wiki/Rowan_University","Glassboro","https://en.wikipedia.org/wiki/Glassboro,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","1975","","","",""
"Chi","University of Massachusetts Boston","https://en.wikipedia.org/wiki/University_of_Massachusetts_Boston","Boston","https://en.wikipedia.org/wiki/Boston","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Inactive","1975–19xx","b","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-15","[","]"
"Psi","Coppin State University","https://en.wikipedia.org/wiki/Coppin_State_University","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","1975","","","",""
"Omega","Western New England University","https://en.wikipedia.org/wiki/Western_New_England_University","Springfield","https://en.wikipedia.org/wiki/Springfield,_Massachusetts","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Inactive","1976–198x?","14","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-16","[","]"
"Alpha Alpha","Stockton University","https://en.wikipedia.org/wiki/Stockton_University","Galloway Township","https://en.wikipedia.org/wiki/Galloway_Township,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","1976","","","",""
"Alpha Beta","Southern Illinois University Edwardsville","https://en.wikipedia.org/wiki/Southern_Illinois_University_Edwardsville","Edwardsville","https://en.wikipedia.org/wiki/Edwardsville,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","","15","https://en.wikipedia.org/wiki/List_of_Iota_Phi_Theta_chapters#cite_note-18","[","]"
"Alpha Gamma","Morris Brown College","https://en.wikipedia.org/wiki/Morris_Brown_College","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Inactive","1976–xxxx ?","","","",""
"Alpha Delta","Rutgers University–Camden","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Camden","Camden, New Jersey","https://en.wikipedia.org/wiki/Camden,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","1978","","","",""
"Alpha Epsilon","North Carolina Central University","https://en.wikipedia.org/wiki/North_Carolina_Central_University","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","1977","","","",""
"Alpha Zeta","LIU Post","https://en.wikipedia.org/wiki/LIU_Post","Brookville","https://en.wikipedia.org/wiki/Brookville,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","1978","","","",""
