"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Alpha","1911","Indiana University Bloomington","https://en.wikipedia.org/wiki/Indiana_University_Bloomington","Bloomington, IN","https://en.wikipedia.org/wiki/Bloomington,_IN","Active",""
"Beta","1913","","","Champaign, IL","https://en.wikipedia.org/wiki/Champaign,_IL","Active","Was originally the University of Illinois but in 1982 became the University of Illinois at Urbana-Champaign. Beta also hosted the Grand Chapter Meeting where the fraternity name was changed from Kappa Alpha Nu to Kappa Alpha Psi."
"Gamma","1914","University of Iowa","https://en.wikipedia.org/wiki/University_of_Iowa","Iowa City, IA","https://en.wikipedia.org/wiki/Iowa_City,_IA","Active",""
"Delta","1915","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH","Active","The Delta Chapter was founded by Elder Watson Diggs in 1915.  The Delta Chapter was the last Chapter chartered under the fraternity's original name, Kappa Alpha Nu, and the first chapter designated after the fraternity's name change to Kappa Alpha Psi. Delta was the first chapter established at an ."
"Epsilon","1915","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)","","","Active","The Epsilon Chapter is the first chapter founded on the east coast thus giving it the nickname ""The Star of the East""."
"Zeta","1915","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH","Active",""
"Eta","1916","University of Nebraska–Lincoln","https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln","Lincoln, NE","https://en.wikipedia.org/wiki/Lincoln,_NE","Active",""
"Theta","1917","Northwestern University","https://en.wikipedia.org/wiki/Northwestern_University","Evanston, IL","https://en.wikipedia.org/wiki/Evanston,_IL","Active",""
"Iota","1918","University of Chicago","https://en.wikipedia.org/wiki/University_of_Chicago","","","Active",""
"Kappa","1919","Meharry Medical College","https://en.wikipedia.org/wiki/Meharry_Medical_College","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active","The first ""Intermediate Chapter"" (Chapters chartered at degree-granting professional or post-graduate institutions which generally require entering students to have earned a bachelor's degree as a condition of admission) in the fraternity. Others being Theta Tau & Kappa Zeta."
"Lambda","1920","Temple University","https://en.wikipedia.org/wiki/Temple_University","","","Active",""
"Mu","1920","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence, KS","https://en.wikipedia.org/wiki/Lawrence,_KS","Active",""
"Nu","1920","Purdue University","https://en.wikipedia.org/wiki/Purdue_University","West Lafayette, IN","https://en.wikipedia.org/wiki/West_Lafayette,_IN","Active",""
"Xi","1920","Howard University","https://en.wikipedia.org/wiki/Howard_University","","","Active",""
"Omicron","1921","Columbia University","https://en.wikipedia.org/wiki/Columbia_University","","","Active","School's full title is Columbia University in the City of New York"
"Pi","1921","Morehouse College","https://en.wikipedia.org/wiki/Morehouse_College","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","The Pi Chapter was the first chapter of Kappa Alpha Psi in the Deep South."
"Rho","1921","Washburn University","https://en.wikipedia.org/wiki/Washburn_University","Topeka, KS","https://en.wikipedia.org/wiki/Topeka,_KS","Active",""
"Sigma","1922","University of Michigan","https://en.wikipedia.org/wiki/University_of_Michigan","Ann Arbor, MI","https://en.wikipedia.org/wiki/Ann_Arbor,_MI","Active",""
"Tau","1923","West Virginia State University","https://en.wikipedia.org/wiki/West_Virginia_State_University","Institute, WV","https://en.wikipedia.org/wiki/Institute,_WV","Active","Was originally West Virginia Collegiate Institute but in 1929 became West Virginia State College; in 2004 became West Virginia State University"
"Upsilon","1923","University of California, Los Angeles","https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles","Los Angeles, CA","https://en.wikipedia.org/wiki/Los_Angeles,_CA","Active","and  are also a part of the Upsilon Chapter"
"Phi","1924","University at Buffalo","https://en.wikipedia.org/wiki/University_at_Buffalo","Buffalo, NY","https://en.wikipedia.org/wiki/Buffalo,_NY","Active","City-wide chapter. Includes"
"Chi","1924","Boston University","https://en.wikipedia.org/wiki/Boston_University","Boston, MA","https://en.wikipedia.org/wiki/Boston,_MA","Active",""
"Psi","1924","University of Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota","Minneapolis, MN","https://en.wikipedia.org/wiki/Minneapolis,_MN","Active",""
"Omega","1925","Drake University","https://en.wikipedia.org/wiki/Drake_University","Des Moines, IA","https://en.wikipedia.org/wiki/Des_Moines,_IA","Active","Collective chapter for Drake University &"
"Alpha Beta","1927","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Active","Was originally the College of the City of Detroit. In 1934 became Wayne University; in 1956 became Wayne State University"
"Alpha Gamma","1927","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Richmond, VA","https://en.wikipedia.org/wiki/Richmond,_VA","Active",""
"Alpha Delta","1927","Fisk University","https://en.wikipedia.org/wiki/Fisk_University","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active",""
"Alpha Epsilon","1927","Johnson C. Smith University","https://en.wikipedia.org/wiki/Johnson_C._Smith_University","Charlotte, NC","https://en.wikipedia.org/wiki/Charlotte,_NC","Active","Part of Middle Eastern Province; when chartered, came under Southeastern Province."
"Alpha Zeta","1928","Indiana State University","https://en.wikipedia.org/wiki/Indiana_State_University","Terre Haute, IN","https://en.wikipedia.org/wiki/Terre_Haute,_IN","Active",""
"Alpha Eta","1929","University of Nebraska Omaha","https://en.wikipedia.org/wiki/University_of_Nebraska_Omaha","Omaha, NE","https://en.wikipedia.org/wiki/Omaha,_NE","Active","Collective chapter for University of Nebraska Omaha & Creighton University"
