"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"1001","Alpha","December 15, 1911","Howard University","https://en.wikipedia.org/wiki/Howard_University","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]","",""
"1002","Beta","February 6, 1914","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)","Chester County, Pennsylvania","https://en.wikipedia.org/wiki/Chester_County,_Pennsylvania","Active","","","","","",""
"1003","Gamma","December 13, 1916","Boston College","https://en.wikipedia.org/wiki/Boston_College","","","Active","a","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-6","[","]","Boston, Massachusetts","https://en.wikipedia.org/wiki/Boston,_Massachusetts"
"","","","Boston University","https://en.wikipedia.org/wiki/Boston_University","","","","","","","","",""
"","","","Tufts University","https://en.wikipedia.org/wiki/Tufts_University","","","","","","","","",""
"","","","Harvard University","https://en.wikipedia.org/wiki/Harvard_University","","","","","","","","",""
"","","","Massachusetts Institute of Technology","https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology","","","","","","","","",""
"","","","Northeastern University","https://en.wikipedia.org/wiki/Northeastern_University","","","","","","","","",""
"","","","","","","","","","","","","",""
"1004","Delta","January 22, 1919","Meharry Medical College","https://en.wikipedia.org/wiki/Meharry_Medical_College","Nashville, Tennessee","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1005","Epsilon (First)","April 18, 1919","City College of New York","https://en.wikipedia.org/wiki/City_College_of_New_York","","","Moved","7","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-8","[","]","New York City, New York","https://en.wikipedia.org/wiki/New_York_City,_New_York"
"","","","Columbia University","https://en.wikipedia.org/wiki/Columbia_University","","","","","","","","",""
"","","","New York University","https://en.wikipedia.org/wiki/New_York_University","","","","","","","","",""
"1006","Zeta","October 20, 1919","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Richmond, Virginia","https://en.wikipedia.org/wiki/Richmond,_Virginia","Active","5","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:15-5","[","]","",""
"1007","Eta (First)","December 1, 1919","","","","","Reassigned","8","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:9-10","[","]","Atlanta University","https://en.wikipedia.org/wiki/Atlanta_University"
"","","","","","","","","","","","","Clark College","https://en.wikipedia.org/wiki/Clark_College_(Atlanta,_Georgia)"
"","","","","","","","","","","","","Gammon Theological Seminary","https://en.wikipedia.org/wiki/Gammon_Theological_Seminary"
"","","","Morehouse College","https://en.wikipedia.org/wiki/Morehouse_College","","","","","","","","",""
"1010","Kappa (First)","1920","West Virginia State University","https://en.wikipedia.org/wiki/West_Virginia_State_University","Institute, West Virginia","https://en.wikipedia.org/wiki/Institute,_West_Virginia","Inactive, Reassigned","9","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:29-12","[","]","",""
"1007","Eta (Second)","1921","Harvard University","https://en.wikipedia.org/wiki/Harvard_University","Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","Inactive, Reassigned","d","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-13","[","]","",""
"1013","Nu","March 15, 1921","Pennsylvania State University","https://en.wikipedia.org/wiki/Pennsylvania_State_University","","","Active","","","","","University Park, Pennsylvania","https://en.wikipedia.org/wiki/University_Park,_Pennsylvania"
"1014","Xi","May 23, 1921","University of Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota","","","Active","10","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:24-14","[","]","Minneapolis, Minnesota","https://en.wikipedia.org/wiki/Minneapolis,_Minnesota"
"1015","Omicron (First)","October 1, 1921","Interdenominational Theological Center","https://en.wikipedia.org/wiki/Interdenominational_Theological_Center","","","Inactive, Reassigned","e","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-15","[","]","Atlanta, Georgia","https://en.wikipedia.org/wiki/Atlanta,_Georgia"
"1021","Phi (First)","October 1, 1921","Talladega College","https://en.wikipedia.org/wiki/Talladega_College","Talladega, Alabama","https://en.wikipedia.org/wiki/Talladega,_Alabama","Reassigned","11","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:11-16","[","]","",""
"1022","Chi (First)","October 1, 1921","New Haven, Connecticut","https://en.wikipedia.org/wiki/New_Haven,_Connecticut","","","Inactive, Reassigned","12","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:8-17","[","]","",""
"1017","Rho","December 5, 1921","Johnson C. Smith University","https://en.wikipedia.org/wiki/Johnson_C._Smith_University","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active","f","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-18","[","]","",""
"1021","Phi (Second)","January 1, 1922","University of Michigan","https://en.wikipedia.org/wiki/University_of_Michigan","Ann Arbor, Michigan","https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan","Active","11","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:11-16","[","]","",""
"1010","Kappa (Second)","February 18, 1922","Syracuse University","https://en.wikipedia.org/wiki/Syracuse_University","Syracuse, New York","https://en.wikipedia.org/wiki/Syracuse,_New_York","Active","9","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:29-12","[","]","",""
"1023","Psi","April 7, 1922","Morehouse College","https://en.wikipedia.org/wiki/Morehouse_College","","","Active","g","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-Eta_First-21","[","]","Atlanta, Georgia","https://en.wikipedia.org/wiki/Atlanta,_Georgia"
"1019","Tau","May 1, 1922","","","","","Consolidated","g","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-Eta_First-21","[","]","Atlanta University","https://en.wikipedia.org/wiki/Atlanta_University"
"1024","Alpha Psi (First)","April 7, 1923","Amherst College","https://en.wikipedia.org/wiki/Amherst_College","Amherst, Massachusetts","https://en.wikipedia.org/wiki/Amherst,_Massachusetts","Inactive","15","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:3-23","[","]","",""
"1008","Theta","December 17, 1922","Marshall, Texas","https://en.wikipedia.org/wiki/Marshall,_Texas","","","Active","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]","Wiley College","https://en.wikipedia.org/wiki/Wiley_College"
"1020","Upsilon (Second)","April 1, 1923","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce, Ohio","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Active","","","","","",""
"1011","Lambda (Second)","May 3, 1923","California State University, Los Angeles","https://en.wikipedia.org/wiki/California_State_University,_Los_Angeles","","","Active","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]","Los Angeles, California","https://en.wikipedia.org/wiki/Los_Angeles,_California"
"","","","California State University, Northridge","https://en.wikipedia.org/wiki/California_State_University,_Northridge","","","","","","","","",""
"","","","University of California, Los Angeles","https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles","","","","","","","","",""
"","","","University of Southern California","https://en.wikipedia.org/wiki/University_of_Southern_California","","","","","","","","",""
"1012","Mu (Second)","May 23, 1923","University of Pennsylvania","https://en.wikipedia.org/wiki/University_of_Pennsylvania","","","Active","","","","","Philadelphia, Pennsylvania","https://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania"
"1009","Iota (Second)","October 12, 1923","University of Chicago","https://en.wikipedia.org/wiki/University_of_Chicago","","","Inactive, Reassigned","11","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:11-16","[","]","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago,_Illinois"
"1016","Pi","October 28, 1923","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","","","Active","","","","","Baltimore, Maryland","https://en.wikipedia.org/wiki/Baltimore,_Maryland"
