"reference","reference href","cite-bracket","cite-bracket 2","mw-heading","mw-editsection-bracket","mw-editsection href","mw-editsection","mw-editsection-bracket 2","headerSort","headerSort 2","headerSort 3","headerSort 4","headerSort 5","unsortable","unsortable 2","fn","vcard","category","note","fn 2","mw-redirect 2","mw-redirect href 2","category 2","fn 3","vcard 4","mw-redirect 3","mw-redirect href 3","category 3","fn 4","mw-redirect 4","mw-redirect href 4","fn 5","vcard 8","mw-redirect 6","mw-redirect href 6","category 5","fn 6","vcard 9","category 6","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","fn 7","vcard 11","mw-redirect 7","mw-redirect href 7","reference 3","reference href 3","fn 8","vcard 13","mw-redirect 8","mw-redirect href 8","category 8","fn 9","vcard 15","mw-redirect 9","mw-redirect href 9","fn 10","vcard 17","mw-redirect 10","mw-redirect href 10","fn 11","vcard 19","mw-redirect 11","mw-redirect href 11","fn 12","mw-redirect 12","mw-redirect href 12","fn 13","mw-redirect 13","mw-redirect href 13","fn 14","vcard 25","mw-redirect 15","mw-redirect href 15","category 14","fn 15","vcard 26","mw-redirect 16","mw-redirect href 16","category 15","fn 16","mw-redirect 18","mw-redirect href 18","fn 17","vcard 28","mw-redirect 19","mw-redirect href 19","fn 18","mw-redirect 20","mw-redirect href 20","category 18","fn 19","vcard 32","mw-redirect 21","mw-redirect href 21","fn 20","vcard 34","mw-redirect 22","mw-redirect href 22","fn 21","mw-redirect 23","mw-redirect href 23","category 21","fn 22","vcard 38","mw-redirect 24","mw-redirect href 24","category 22","fn 23","vcard 40","vcard 41","mw-redirect 25","mw-redirect href 25","category 23","fn 24","vcard 42","vcard 43","mw-redirect 26","mw-redirect href 26","category 24","fn 25","vcard 44","mw-redirect 28","mw-redirect href 28","category 25","fn 26","mw-redirect 29","mw-redirect href 29","category 26","fn 27","vcard 46","mw-redirect 30","mw-redirect href 30","fn 28","vcard 48","mw-redirect 31","mw-redirect href 31","fn 29","vcard 50","mw-redirect 32","mw-redirect href 32","category 29","fn 30","vcard 52","mw-redirect 33","mw-redirect href 33","category 30","fn 31","vcard 54","mw-redirect 35","mw-redirect href 35","fn 32","vcard 55","mw-redirect 36","mw-redirect href 36","fn 33","vcard 57","mw-redirect 38","mw-redirect href 38","fn 34","mw-redirect 39","mw-redirect href 39","category 34","fn 35","fn 36","category 36","fn 37","mw-redirect 41","mw-redirect href 41","category 37","fn 38","mw-redirect 43","mw-redirect href 43","category 38","mw-redirect 45","mw-redirect href 45","mw-redirect 47","mw-redirect href 47","mw-redirect 48","mw-redirect href 48"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-1","[","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Regions","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=1","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Eastern","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=2","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Collegiate chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=3","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-auto-2","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha","April 15, 1914","Active","The first established chapter of Phi Beta Sigma","Beta","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX","Active","Gamma","November 10, 1916","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD","Active","Alpha Alpha Alpha","Petersburg, VA","https://en.wikipedia.org/wiki/Petersburg,_VA","Alpha Alpha Gamma","1990","Lock Haven, PA","https://en.wikipedia.org/wiki/Lock_Haven,_PA","Active","Alpha Alpha Iota","1993","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","Alpha Alpha Xi","1990","Binghamton, NY","https://en.wikipedia.org/wiki/Binghamton,_NY","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","Alpha Alpha Pi","1991","Newport News, VA","https://en.wikipedia.org/wiki/Newport_News,_VA","Active","Alpha Alpha Tau","December 6, 1993","Providence, RI","https://en.wikipedia.org/wiki/Providence,_RI","Alpha Alpha Phi","December 30, 1993","Brooklyn, NY","https://en.wikipedia.org/wiki/Brooklyn,_NY","Alpha Alpha Psi","May 6, 1994","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE","Alpha Beta Epsilon","Smithfield, RI","https://en.wikipedia.org/wiki/Smithfield,_RI","Alpha Delta","Harlem, NY","https://en.wikipedia.org/wiki/Harlem,_NY","Alpha Zeta Alpha","June 7, 1995","Slippery Rock, PA","https://en.wikipedia.org/wiki/Slippery_Rock,_PA","Active","Alpha Theta","1948","Institute, WV","https://en.wikipedia.org/wiki/Institute,_WV","Active","Alpha Iota","Bluefield, WV","https://en.wikipedia.org/wiki/Bluefield,_WV","Alpha Mu","1935","Princess Anne, MD","https://en.wikipedia.org/wiki/Princess_Anne,_MD","Alpha Mu Alpha","Swarthmore, PA","https://en.wikipedia.org/wiki/Swarthmore,_PA","Active","Alpha Nu Alpha","April 15, 1996","South Orange, NJ","https://en.wikipedia.org/wiki/South_Orange,_NJ","Alpha Omicron","1935","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Alpha Pi Alpha","Moon Township, PA","https://en.wikipedia.org/wiki/Moon_Township,_PA","Active","Alpha Chi Alpha","1998","Philadelphia, PA","https://en.wikipedia.org/wiki/Philadelphia,_PA","Active","Beta Alpha","1935","Boston Citywide","Boston, MA","https://en.wikipedia.org/wiki/Boston,_MA","Active","Beta Delta","1945","Texas Southern University","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX","Active","Beta Beta Pi","2006","Oneonta, NY","https://en.wikipedia.org/wiki/Oneonta,_NY","Active","Beta Beta Chi","Middletown, CT","https://en.wikipedia.org/wiki/Middletown,_CT","Active","Beta Beta Psi","2007","Amherst, MA","https://en.wikipedia.org/wiki/Amherst,_MA","Beta Gamma","1947","Hampton, VA","https://en.wikipedia.org/wiki/Hampton,_VA","Beta Iota","1940","Buffalo, NY","https://en.wikipedia.org/wiki/Buffalo,_NY","Active","Beta Lambda","1948","Brooklyn, NY","https://en.wikipedia.org/wiki/Brooklyn,_NY","Active","Beta Xi","February 28, 1948","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Gamma","November 1916","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD","Gamma Alpha Rho","2011","Shippensburg, PA","https://en.wikipedia.org/wiki/Shippensburg,_PA","Gamma Alpha Tau","West Haven, CT","https://en.wikipedia.org/wiki/West_Haven,_CT","Active","Gamma Alpha Phi","Gamma Alpha Psi","Active","Gamma Beta Alpha","Selinsgrove, PA","https://en.wikipedia.org/wiki/Selinsgrove,_PA","Active","Gamma Sigma Gamma","Plattsburgh, NY","https://en.wikipedia.org/wiki/Plattsburgh,_NY","Active","Chester County, PA","https://en.wikipedia.org/wiki/Chester_County,_PA","Dartmouth, MA","https://en.wikipedia.org/wiki/Dartmouth,_MA","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE"
