"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 5","tablescraper-selected-row href","tablescraper-selected-row 6","tablescraper-selected-row href 2","tablescraper-selected-row 8"
"Alpha","– 1952; 19xx ?","Indianapolis, Indiana","https://en.wikipedia.org/wiki/Indianapolis","Butler University","https://en.wikipedia.org/wiki/Butler_University","Active"
"","1923–1931","Indiana State University","https://en.wikipedia.org/wiki/Indiana_State_University","Terre Haute, Indiana","https://en.wikipedia.org/wiki/Terre_Haute,_Indiana","Reissued"
"Beta","1948","University of the District of Columbia","https://en.wikipedia.org/wiki/University_of_the_District_of_Columbia","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","Active"
"","1923","","","","","Reissued"
"Gamma","1951","North Carolina A&T State University","https://en.wikipedia.org/wiki/North_Carolina_A%26T_State_University","Greensboro, North Carolina","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","Active"
"","192x ?–19xx ?","Louisville Municipal College","https://en.wikipedia.org/wiki/Louisville_Municipal_College","Louisville, Kentucky","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Reissued"
"Delta","1941–1952; April 2, 2000","Xavier University of Louisiana","https://en.wikipedia.org/wiki/Xavier_University_of_Louisiana","","","Active"
"Epsilon","1924–19xx ?, 1966","Indiana University Northwest","https://en.wikipedia.org/wiki/Indiana_University_Northwest","Gary, Indiana","https://en.wikipedia.org/wiki/Gary,_Indiana","Active"
"Zeta","1929","Case Western Reserve University","https://en.wikipedia.org/wiki/Case_Western_Reserve_University","Cleveland, Ohio","https://en.wikipedia.org/wiki/Cleveland","Active"
"Eta","– 2004; December 3, 2014","Northwestern University","https://en.wikipedia.org/wiki/Northwestern_University","Evanston, Illinois","https://en.wikipedia.org/wiki/Evanston,_Illinois","Active"
"","192x ?–19xx ?","","","","","Reissued"
"Theta","","Claflin University","https://en.wikipedia.org/wiki/Claflin_University","Orangeburg, South Carolina","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","Active"
"","192x ?–19xx ?","","","","","Reissued"
"Iota","1941–1952, 19xx ?","Langston University","https://en.wikipedia.org/wiki/Langston_University","Langston, Oklahoma","https://en.wikipedia.org/wiki/Langston,_Oklahoma","Active"
"Kappa","– 19xx; 1971","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce, Ohio","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Active"
"","192x ?–19xx ?","","","","","Reissued"
"Lambda","1947–1953, 19xx ?","Kentucky State University","https://en.wikipedia.org/wiki/Kentucky_State_University","Frankfort, Kentucky","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Active"
"","192x ?–19xx?","","","","","Reissued"
"Mu","– 1952, 19xx ?","Ball State University","https://en.wikipedia.org/wiki/Ball_State_University","Muncie, Indiana","https://en.wikipedia.org/wiki/Muncie,_Indiana","Active"
"","192x ?–19xx ?","","","","","Reissued"
"Nu","1950","St. Augustine's University","https://en.wikipedia.org/wiki/St._Augustine%27s_University_(North_Carolina)","Raleigh, North Carolina","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Active"
"","192x ?–19xx ?","","","","","Reissued"
"Xi","","Francis Marion University","https://en.wikipedia.org/wiki/Francis_Marion_University","Florence, South Carolina","https://en.wikipedia.org/wiki/Florence,_South_Carolina","Active"
"","192x ?–19xx ?","","","","","Reissued"
"Omicron","","Dillard University","https://en.wikipedia.org/wiki/Dillard_University","","","Active"
"","19xx ?–19xx ?","","","","","Inactive"
"","19xx ?–19xx ?","","","","","Reissued"
"Rho","","Winston-Salem State University","https://en.wikipedia.org/wiki/Winston-Salem_State_University","Winston-Salem, North Carolina","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","Active"
"","","","","","","Inactive"
"Tau","1927","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Richmond, Virginia","https://en.wikipedia.org/wiki/Richmond,_Virginia","Active"
"","1930–1941","","","","","Inactive"
"","193x ?–19xx ?","","","","","Reissued"
"Phi","1952","Clark Atlanta University","https://en.wikipedia.org/wiki/Clark_Atlanta_University","Atlanta, Georgia","https://en.wikipedia.org/wiki/Atlanta","Active"
"","193x ?–19xx ?","","","","","Reissued"
"Chi","–1973, 19xx ?","Wichita State University","https://en.wikipedia.org/wiki/Wichita_State_University","Wichita, Kansas","https://en.wikipedia.org/wiki/Wichita,_Kansas","Active"
"Nu Psi","1938–19xx ?","Southern Illinois University Carbondale","https://en.wikipedia.org/wiki/Southern_Illinois_University_Carbondale","Carbondale, Illinois","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Inactive"
"","193x ?–19xx ?","","","","","Inactive"
"","","","","","","Inactive"
"Alpha Beta","193x ?–19xx ?; 1942","Tennessee State University","https://en.wikipedia.org/wiki/Tennessee_State_University","Nashville, Tennessee","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active"
"","1932","Lane College","https://en.wikipedia.org/wiki/Lane_College","Jackson, Tennessee","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Active"
"Alpha Delta","1937","Harris–Stowe State University","https://en.wikipedia.org/wiki/Harris%E2%80%93Stowe_State_University","St. Louis, Missouri","https://en.wikipedia.org/wiki/St._Louis","Active"
"","193x ?–19xx ?","","","","","Reissued"
"Alpha Epsilon","1946","Florida A&M University","https://en.wikipedia.org/wiki/Florida_A%26M_University","Tallahassee, Florida","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Active"
"Alpha Zeta","1938","Virginia State University","https://en.wikipedia.org/wiki/Virginia_State_University","Ettrick, Virginia","https://en.wikipedia.org/wiki/Ettrick,_Virginia","Active"
"Alpha Eta","1938–1946, 1953","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit, Michigan","https://en.wikipedia.org/wiki/Detroit","Active"
"","1936–1941, 1950–1954","Illinois Institute of Technology","https://en.wikipedia.org/wiki/Illinois_Institute_of_Technology","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago","Inactive"
"","193x ?–19xx ?","","","","","Reissued"
"Alpha Iota","1949","Savannah State University","https://en.wikipedia.org/wiki/Savannah_State_University","Savannah, Georgia","https://en.wikipedia.org/wiki/Savannah,_Georgia","Active"
"","193x ?","","","","","Inactive"
"Alpha Lambda","1928","Texas Southern University","https://en.wikipedia.org/wiki/Texas_Southern_University","Houston, Texas","https://en.wikipedia.org/wiki/Houston","Active"
"Alpha Mu","1937","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Missouri)","Jefferson City, Missouri","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","Active"
"Alpha Nu","1950","Los Angeles, California","https://en.wikipedia.org/wiki/Los_Angeles","","","Active"
"Alpha Xi","1943","Little Rock, Arkansas","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","","","Active"
"Alpha Omicron","","LeMoyne–Owen College","https://en.wikipedia.org/wiki/LeMoyne%E2%80%93Owen_College","Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active"
"Alpha Pi","1938","New York City","https://en.wikipedia.org/wiki/New_York_City","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active"
"","1941–1954","","","","","Inactive"
"Alpha Rho","1973","University of Missouri","https://en.wikipedia.org/wiki/University_of_Missouri","Columbia, Missouri","https://en.wikipedia.org/wiki/Columbia,_Missouri","Active"
"Alpha Tau","– 1944; 1948","Jackson State University","https://en.wikipedia.org/wiki/Jackson_State_University","Jackson, Mississippi","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Active"
"Alpha Upsilon","1945–1952, 1972","Fisk University","https://en.wikipedia.org/wiki/Fisk_University","Nashville, Tennessee","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active"
"Alpha Phi","","Howard University","https://en.wikipedia.org/wiki/Howard_University","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","Active"
"Alpha Chi","1944","University of Arkansas at Pine Bluff","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Pine_Bluff","Pine Bluff, Arkansas","https://en.wikipedia.org/wiki/Pine_Bluff,_Arkansas","Active"
"Alpha Psi","1935","St. Louis, Missouri","https://en.wikipedia.org/wiki/St._Louis","","","Active"
"Alpha Omega","1945","Huston–Tillotson University","https://en.wikipedia.org/wiki/Huston%E2%80%93Tillotson_University","Austin, Texas","https://en.wikipedia.org/wiki/Austin,_Texas","Active"
"Beta Alpha","1945","Southern University","https://en.wikipedia.org/wiki/Southern_University","Baton Rouge, Louisiana","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Active"
"Epsilon Tau","1946–1952","Alcorn State University","https://en.wikipedia.org/wiki/Alcorn_State_University","Lorman, Mississippi","https://en.wikipedia.org/wiki/Lorman,_Mississippi","Reissued"
"Beta Beta","1971","Indiana State University","https://en.wikipedia.org/wiki/Indiana_State_University","Terre Haute, Indiana","https://en.wikipedia.org/wiki/Terre_Haute,_Indiana","Active"
"Beta Gamma","1946–1947, 1972","Marshall, Texas","https://en.wikipedia.org/wiki/Marshall,_Texas","","","Active"
"Beta Delta","1947","Temple University","https://en.wikipedia.org/wiki/Temple_University","","","Active"
"Beta Epsilon","1947","Benedict College","https://en.wikipedia.org/wiki/Benedict_College","Columbia, South Carolina","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","Active"
"","19xx ?–19xx ?","","","","","Inactive"
"Beta Eta","1950","Bethune–Cookman University","https://en.wikipedia.org/wiki/Bethune%E2%80%93Cookman_University","Daytona Beach, Florida","https://en.wikipedia.org/wiki/Daytona_Beach,_Florida","Active"
"Beta Theta","1950","Shaw University","https://en.wikipedia.org/wiki/Shaw_University","Raleigh, North Carolina","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Active"
"Beta Iota","1950","Allen University","https://en.wikipedia.org/wiki/Allen_University","Columbia, South Carolina","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","Active"
"Beta Kappa","1961–1953, 1960","Texas College","https://en.wikipedia.org/wiki/Texas_College","Tyler, Texas","https://en.wikipedia.org/wiki/Tyler,_Texas","Active"
"Beta Lambda","1952","Morris Brown College","https://en.wikipedia.org/wiki/Morris_Brown_College","Atlanta, Georgia","https://en.wikipedia.org/wiki/Atlanta","Active"
"","195x ?–19xx ?","","","","","Inactive"
"Beta Nu","1952","Saint Paul College","https://en.wikipedia.org/wiki/Saint_Paul_College","Saint Paul, Minnesota","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","Active"
"","195x ?–19xx ?","","","","","Inactive"
"Beta Omicron","1952","North Carolina Central University","https://en.wikipedia.org/wiki/North_Carolina_Central_University","Durham, North Carolina","https://en.wikipedia.org/wiki/Durham,_North_Carolina","Active"
"Beta Pi","1952","Arizona State University","https://en.wikipedia.org/wiki/Arizona_State_University","Tempe, Arizona","https://en.wikipedia.org/wiki/Tempe,_Arizona","Active"
"Beta Rho","","Roosevelt University","https://en.wikipedia.org/wiki/Roosevelt_University","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago","Active"
"Beta Tau","1954","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","","","Active"
"Beta Upsilon","1955","Johnson C. Smith University","https://en.wikipedia.org/wiki/Johnson_C._Smith_University","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active"
"Beta Phi","1957","Cheyney, Pennsylvania","https://en.wikipedia.org/wiki/Cheyney,_Pennsylvania","","","Active"
"Beta Chi","1958","Alabama State University","https://en.wikipedia.org/wiki/Alabama_State_University","Montgomery, Alabama","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Active"
"Beta Psi","1958","University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley","Berkeley, California","https://en.wikipedia.org/wiki/Berkeley,_California","Active"
"Beta Omega","1960","Grambling State University","https://en.wikipedia.org/wiki/Grambling_State_University","Grambling, Louisiana","https://en.wikipedia.org/wiki/Grambling,_Louisiana","Active"
"Gamma Alpha","1960","","","","","Active"
"Gamma Beta","","Southern Illinois University Edwardsville","https://en.wikipedia.org/wiki/Southern_Illinois_University_Edwardsville","Edwardsville, Illinois","https://en.wikipedia.org/wiki/Edwardsville,_Illinois","Active"
"Gamma Gamma","1962","Knoxville College","https://en.wikipedia.org/wiki/Knoxville_College","Knoxville, Tennessee","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Active"
