"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"Alpha","January 16, 1920","Howard University","https://en.wikipedia.org/wiki/Howard_University","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","Active","4","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-4","[","]","","","",""
"Beta","1921","Morris Brown College","https://en.wikipedia.org/wiki/Morris_Brown_College","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Active","","","","","–xxxx ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Gamma","November 2, 1921","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Active","5","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-5","[","]","","Maryland","https://en.wikipedia.org/wiki/Maryland",""
"","","San Antonio","https://en.wikipedia.org/wiki/San_Antonio","Texas","https://en.wikipedia.org/wiki/Texas","Active","6","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-7","[","]","192x ? –19xx ?","","","Delta first"
"Delta","August 30, 1956","Texas A&M University–San Antonio","https://en.wikipedia.org/wiki/Texas_A%26M_University%E2%80%93San_Antonio","San Antonio","https://en.wikipedia.org/wiki/San_Antonio","Active","7","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-8","[","]","","Texas","https://en.wikipedia.org/wiki/Texas",""
"","1925","New York City","https://en.wikipedia.org/wiki/New_York_City","New York City","https://en.wikipedia.org/wiki/New_York_City","Inactive","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)","Epsilon"
"Zeta","March 19, 1945","Alcorn State University","https://en.wikipedia.org/wiki/Alcorn_State_University","Lorman","https://en.wikipedia.org/wiki/Lorman,_Mississippi","Active","8","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-9","[","]","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"","1922","Temple University","https://en.wikipedia.org/wiki/Temple_University","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Inactive","9","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:6-10","[","]","–20xx ?","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Eta"
"","1923","Marshall","https://en.wikipedia.org/wiki/Marshall,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Inactive","11","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-13","[","]","–","","","Theta"
"","June 19, 1924","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Inactive","12","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:32-15","[","]","– 1943","Ohio","https://en.wikipedia.org/wiki/Ohio","Iota first"
