"fn","vcard","vcard 2","vcard href","category","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href","mw-redirect 2","mw-redirect href 2"
"Alpha","April 15, 1914","Howard University","https://en.wikipedia.org/wiki/Howard_University","Active","2","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-auto-2","[","]","","","",""
"Beta","November 13, 1915","","","Active","","","","","Wiley College","https://en.wikipedia.org/wiki/Wiley_College","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX"
"Gamma","November 10, 1916","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","Active","","","","","","","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD"
"Alpha Alpha Alpha","1931","Virginia State University","https://en.wikipedia.org/wiki/Virginia_State_University","Active","","","","","","","Petersburg, VA","https://en.wikipedia.org/wiki/Petersburg,_VA"
"Alpha Alpha Gamma","1990","","","Active","","","","","Lock Haven University of Pennsylvania","https://en.wikipedia.org/wiki/Lock_Haven_University_of_Pennsylvania","Lock Haven, PA","https://en.wikipedia.org/wiki/Lock_Haven,_PA"
"Alpha Alpha Iota","1993","Hofstra University","https://en.wikipedia.org/wiki/Hofstra_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","",""
"Alpha Alpha Xi","1990","Binghamton University","https://en.wikipedia.org/wiki/Binghamton_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Binghamton, NY","https://en.wikipedia.org/wiki/Binghamton,_NY"
"Alpha Alpha Pi","1991","Christopher Newport University","https://en.wikipedia.org/wiki/Christopher_Newport_University","Active","","","","","","","Newport News, VA","https://en.wikipedia.org/wiki/Newport_News,_VA"
"Alpha Alpha Tau","December 6, 1993","Johnson & Wales University","https://en.wikipedia.org/wiki/Johnson_%26_Wales_University","Active","4","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-familylinks-4","[","]","","","Providence, RI","https://en.wikipedia.org/wiki/Providence,_RI"
"Alpha Alpha Phi","December 30, 1993","Medgar Evers College","https://en.wikipedia.org/wiki/Medgar_Evers_College","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Brooklyn, NY","https://en.wikipedia.org/wiki/Brooklyn,_NY"
"Alpha Alpha Psi","May 6, 1994","Wesley College","https://en.wikipedia.org/wiki/Wesley_College_(Delaware)","Active","5","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-USFedNews-5","[","]","","","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE"
