"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Alpha Omega","December 1, 1917","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","Reissued","28","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:31-59","[","]"
"Alpha Omega","December 1, 1917","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","Active","28","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:31-59","[","]"
"Beta Omega","October 20, 1920","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missouri","Reissued","48","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:511-91","[","]"
"Beta Omega","October 20, 1920","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missouri","Active","48","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:511-91","[","]"
"Gamma Omega","December 2, 1920","St. Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","Reissued","49","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:63-93","[","]"
"Gamma Omega","December 2, 1920","St. Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","Active","49","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:63-93","[","]"
"Delta Omega","February 26, 1921","Petersburg","https://en.wikipedia.org/wiki/Petersburg,_Virginia","Virginia","Reissued","50","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:73-95","[","]"
"Delta Omega","February 26, 1921","Petersburg","https://en.wikipedia.org/wiki/Petersburg,_Virginia","Virginia","Active","50","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:73-95","[","]"
"Epsilon Omega","December 2, 1921","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","Reissued","51","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:83-97","[","]"
"Epsilon Omega","December 2, 1921","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","Active","51","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:83-97","[","]"
"Zeta Omega","","Wilmington","https://en.wikipedia.org/wiki/Wilmington,_Delaware","Delaware","Active","52","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akazetaomega.org-99","[","]"
"Eta Omega","","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Kentucky","Active","53","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Centennial-100","[","]"
"Theta Omega","November 5, 1922","South Side Chicago","https://en.wikipedia.org/wiki/South_Side,_Chicago","Illinois","Active","54","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Home-101","[","]"
"Iota Omega","December 1, 1922","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia","Active","29","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:4-61","[","]"
"Kappa Omega","March 1, 1923","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","Active","55","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:553-102","[","]"
"Lambda Omega","January 13, 1934","Newport News","https://en.wikipedia.org/wiki/Newport_News,_Virginia","Virginia","Active","29","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:4-61","[","]"
"Mu Omega","May 10, 1924","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Kansas","Kansas","Active","56","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:563-103","[","]"
"Nu Omega","","Marshall","https://en.wikipedia.org/wiki/Marshall,_Texas","Texas","Active","57","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-marshallnewsmessenger.com-104","[","]"
"Xi Omega","December 23, 1923","","","DC","Active","58","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Xi_Omega_Chapter-105","[","]"
"Omicron Omega","October 24, 1924","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Alabama","Active","24","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:9-49","[","]"
"Pi Omega","June 25, 1925","Chattanooga","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","Tennessee","Active","59","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-About_Us-106","[","]"
"Rho Omega","December 17, 1924","Wilberforce","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Ohio","Active","60","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akarhoomega.com-107","[","]"
"Sigma Omega","December 18, 1924","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Ohio","Active","61","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-History-108","[","]"
"Tau Omega","May 1925","Harlem","https://en.wikipedia.org/wiki/Harlem","New York","Active","62","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Welcome-109","[","]"
"Upsilon Omega","October 24, 1925","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Virginia","Active","63","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaupsilonomega.org-110","[","]"
"Phi Omega","February 14, 1924","Winston-Salem","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","North Carolina","Active","64","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Phi_Omega_History-111","[","]"
"Chi Omega","December 19, 1925","Rocky Mount","https://en.wikipedia.org/wiki/Rocky_Mount,_North_Carolina","North Carolina","Active","65","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Chapter_History-112","[","]"
"Psi Omega","","","","Massachusetts","Active","66","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaboston.org-113","[","]"
"Omega Omega","December 10, 1926","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","Active","67","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaomegaomegachapter.com-114","[","]"
"Alpha Alpha Omega","","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Pennsylvania","Active","68","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akapghaao.com-115","[","]"
"Alpha Beta Omega","July 23, 1927","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","Active","69","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-alphabetaomega.org-116","[","]"
"Alpha Gamma Omega","October 1, 1927","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","Active","","","",""
