"tablescraper-selected-row","tablescraper-selected-row 4","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"1011","Lambda Omega","June 1, 1920","Norfolk, Virginia","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Renamed, Reassigned","45","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:4-77","[","]"
"1009","","August 17, 1920","Atlantic City, New Jersey","https://en.wikipedia.org/wiki/Atlantic_City,_New_Jersey","Reassigned","11","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:11-16","[","]"
"1012","Mu Omega","October 1, 1920","","","Renamed, Reassigned","46","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:5-79","[","]"
"1020","Upsilon Omega","January 21, 1921","","","Renamed, Reassigned","47","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:6-81","[","]"
"1018","Sigma Omega","October 1, 1921","","","Renamed, Reassigned","2","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:10-2","[","]"
"1379","Pi Omega","November 17, 1921","","","Active","","","",""
"1364","Alpha Omega","October 1, 1922","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","Active","43","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:7-75","[","]"
"1365","Beta Omega","October 1, 1922","Kansas City, Missouri","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Active","48","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-84","[","]"
"1371","Theta Omega","December 12, 1922","Louisville, Kentucky","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Active","49","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-85","[","]"
"1370","Eta Omega","1923","","","Active","8","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:9-10","[","]"
"1376","Nu Omega","January 24, 1923","","","Active","11","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:11-16","[","]"
"1373","Kappa Omega","January 25, 1923","Harrisburg, Pennsylvania","https://en.wikipedia.org/wiki/Harrisburg,_Pennsylvania","Active","","","",""
"1384","Phi Omega","February 24, 1923","Buffalo, New York","https://en.wikipedia.org/wiki/Buffalo,_New_York","Active","","","",""
"1383","Upsilon Omega","April 1, 1923","","","Active","47","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:6-81","[","]"
"1368","Epsilon Omega","April 20, 1923","Orangeburg, South Carolina","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","Active","","","",""
