"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8"
"Alpha Zeta","November 16, 1923","Baltimore","https://en.wikipedia.org/wiki/Baltimore","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","","","","",""
"Beta Zeta","","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","","","Active","197","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-248","[","]",""
"","","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Inactive","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","Gamma Zeta first"
"","November 28, 1942","Fort Smith","https://en.wikipedia.org/wiki/Fort_Smith,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Inactive","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","Gamma Zeta second"
"Gamma Zeta","May 9, 1952","Charleston","https://en.wikipedia.org/wiki/Charleston,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","198","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-249","[","]",""
"Delta Zeta","December 4, 1934","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","199","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-250","[","]",""
"Epsilon Zeta","","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","200","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-251","[","]",""
"Zeta Zeta","","Dolton","https://en.wikipedia.org/wiki/Dolton,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","201","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:41-252","[","]",""
"Eta Zeta","","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","","","","",""
"Theta Zeta","","Bluefield","https://en.wikipedia.org/wiki/Bluefield,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Active","","","","",""
"Iota Zeta","June 30, 1931","Indianapolis","https://en.wikipedia.org/wiki/Indianapolis","Indiana","https://en.wikipedia.org/wiki/Indiana","Active","203","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-255","[","]",""
"Kappa Zeta","December 1931","Dallas","https://en.wikipedia.org/wiki/Dallas","Texas","https://en.wikipedia.org/wiki/Texas","Active","204","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-256","[","]",""
"Lambda Zeta","March 29, 1934","Houston","https://en.wikipedia.org/wiki/Houston","Texas","https://en.wikipedia.org/wiki/Texas","Active","205","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-257","[","]",""
"Mu Zeta","","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","206","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-258","[","]",""
"Nu Zeta","February 1935","Knoxville","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
