"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","reference","reference href","cite-bracket","cite-bracket 2"
"Alpha Alpha","1927","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH","Active","","","",""
"Alpha Alpha Beta","1939","Chicago State University","https://en.wikipedia.org/wiki/Chicago_State_University","Chicago, IL","https://en.wikipedia.org/wiki/Chicago,_IL","Active","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]"
"Alpha Alpha Kappa","1993","University of Northern Iowa","https://en.wikipedia.org/wiki/University_of_Northern_Iowa","Waterloo, IA","https://en.wikipedia.org/wiki/Waterloo,_IA","Inactive","","","",""
"Alpha Alpha Nu","March 22, 1993","Morehead State University","https://en.wikipedia.org/wiki/Morehead_State_University","Morehead, KY","https://en.wikipedia.org/wiki/Morehead,_KY","Inactive","","","",""
"Alpha Beta Kappa","April 24th, 2000","Miami University","https://en.wikipedia.org/wiki/Miami_University","Oxford, OH","https://en.wikipedia.org/wiki/Oxford,_OH","Active","","","",""
"Alpha Beta Mu","February 4, 2000","Wright State University","https://en.wikipedia.org/wiki/Wright_State_University","Dayton, OH","https://en.wikipedia.org/wiki/Dayton,_OH","Active","","","",""
"Alpha Beta Omicron","","","","Elmhurst, IL","https://en.wikipedia.org/wiki/Elmhurst,_IL","Inactive","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]"
"Alpha Beta Rho","April 28, 2000","Northern Kentucky University","https://en.wikipedia.org/wiki/Northern_Kentucky_University","Highland Heights, KY","https://en.wikipedia.org/wiki/Highland_Heights,_KY","Active","","","",""
"Alpha Epsilon Alpha","April 15, 1995","Indianapolis Citywide","","Indianapolis, IN","https://en.wikipedia.org/wiki/Indianapolis,_IN","Active","33","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-33","[","]"
"Alpha Rho Alpha","","Indiana University Northwest","https://en.wikipedia.org/wiki/Indiana_University_Northwest","Gary, IN","https://en.wikipedia.org/wiki/Gary,_IN","Inactive","","","",""
"Beta Beta Xi","2005","","","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY","Active","","","",""
"Beta Nu","1947","Cleveland State University","https://en.wikipedia.org/wiki/Cleveland_State_University","Cleveland, OH","https://en.wikipedia.org/wiki/Cleveland,_OH","Active","","","",""
"Gamma Alpha Iota","2009","Xavier University","https://en.wikipedia.org/wiki/Xavier_University","Cincinnati, OH","https://en.wikipedia.org/wiki/Cincinnati,_OH","Active","","","",""
"Gamma Alpha Omicron","2010","Winona State University","https://en.wikipedia.org/wiki/Winona_State_University","Winona, MN","https://en.wikipedia.org/wiki/Winona,_MN","Active","","","",""
"Gamma Eta Gamma","2015","Quincy University","https://en.wikipedia.org/wiki/Quincy_University","Quincy, IL","https://en.wikipedia.org/wiki/Quincy,_IL","Active","","","",""
"Gamma Iota","November 7, 1950","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Active","","","",""
"Gamma Mu Gamma","May 19, 2016","Lindenwood University – Belleville","https://en.wikipedia.org/wiki/Lindenwood_University_%E2%80%93_Belleville","Belleville, IL","https://en.wikipedia.org/wiki/Belleville,_IL","Active","","","",""
"Gamma Rho Eta","February 23, 2019","McKendree University","https://en.wikipedia.org/wiki/McKendree_University","Lebanon, IL","https://en.wikipedia.org/wiki/Lebanon,_IL","Active","","","",""
"Delta Kappa","1967","Michigan State University","https://en.wikipedia.org/wiki/Michigan_State_University","East Lansing, MI","https://en.wikipedia.org/wiki/East_Lansing,_MI","Active","","","",""
"Delta Omicron","1969","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH","Active","34","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-34","[","]"
"Delta Rho","April 17, 1970","University of Michigan","https://en.wikipedia.org/wiki/University_of_Michigan","Ann Arbor, MI","https://en.wikipedia.org/wiki/Ann_Arbor,_MI","Active","","","",""
"Delta Tau","1967","","","Carbondale, IL","https://en.wikipedia.org/wiki/Carbondale,_IL","Active","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]"
"Delta Chi","1967","Eastern Illinois University","https://en.wikipedia.org/wiki/Eastern_Illinois_University","Charleston, IL","https://en.wikipedia.org/wiki/Charleston,_IL","Suspended","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]"
"Epsilon Gamma","May 1, 1970","Northern Illinois University","https://en.wikipedia.org/wiki/Northern_Illinois_University","DeKalb, IL","https://en.wikipedia.org/wiki/DeKalb,_IL","Active","32","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IllinoisSigmas-32","[","]"
"Epsilon Epsilon","1971","Kent State University","https://en.wikipedia.org/wiki/Kent_State_University","Kent, OH","https://en.wikipedia.org/wiki/Kent,_OH","Active","","","",""
"Epsilon Theta","1971","Western Kentucky University","https://en.wikipedia.org/wiki/Western_Kentucky_University","Bowling Green, KY","https://en.wikipedia.org/wiki/Bowling_Green,_KY","Active","37","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-37","[","]"
"Epsilon Iota","January 3, 1972","Indiana University","https://en.wikipedia.org/wiki/Indiana_University","Bloomington, IN","https://en.wikipedia.org/wiki/Bloomington,_IN","Active","38","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-IndianaSigmas-38","[","]"
